Week,Month,Date,Day,Topic,Slides,Reading,Projects,Quizzes,,,,
1,Aug,24,Tue,Logistics,S01-Logistics,-,Pytorch,,,,,
1,Aug,26,Thu,Introduction to CV,S02-Introduction,1,,,,,,
2,Aug,31,Tue,Geometric Image formation,S03-Geometry,2.1,,,,,,
2,Sep,2,Thu,Geometric Image formation,-,-,,,,,,
3,Sep,7,Tue,Photometric Image formation,S04-Photometry,2.2,Image Filtering and Hybrid images,,,,,
3,Sep,9,Thu,Photometric Image formation,-,2.3,,,,,,
4,Sep,14,Tue,Image processing,S05-Image-Processing,"3.1, 3.2",,Quiz 1,,,,
4,Sep,16,Thu,Image processing,-,"3.3, 3.4",,,,,,
5,Sep,21,Tue,Image processing,-,-,,,,,,
5,Sep,23,Thu,CNNs,S06-Deep-Learning,-,Segmentation with CNNs,,,,,
6,Sep,28,Tue,Segmentation,S07-Segmentation,"5.2, 5.3",,,,,,
6,Sep,30,Thu,Segmentation,-,-,,Quiz 2,,,,
7,Oct,5,Tue,Recognition,S08-Recognition,-,,,,,,
7,Oct,7,Thu,Recognition,-,-,Scene Recognition with Deep Learning,,,,,
8,Oct,12,Tue,Fall Break,-,-,,,,,,
8,Oct,14,Thu,Deep Learning,S09-Learning-CNNs,-,,Quiz 3,,,,
9,Oct,19,Tue,Deep Image Recognition,S10-Deep-Object-Recognition,-,,,,,,
9,Oct,21,Thu,Feature Detection and Matching,S11-Detection,4.1.1,,,,,,
10,Oct,26,Tue,"Harris Corner Detector, in Detail",-,-,Local Feature Matching,,,,,
10,Oct,28,Thu,Descriptors and Matching,S12-Descriptors-Matching,"4.1.2, 4.1.3",,Quiz 4,,,,
11,Nov,2,Tue,Image Alignment and Stitching,S13-Alignment,6.1.1,,,,,,
11,Nov,4,Thu,Image Alignment and Stitching,-,-,,,,,,
12,Nov,9,Tue,Motion Estimation,S14-Motion,-,Camera Projection Matrix and F Estimation,,,,,
12,Nov,11,Thu,Pose Estimation,-,-,,Quiz 5,,,,
13,Nov,16,Tue,Structure from Motion,S15-SfM,-,,,,,,
13,Nov,18,Thu,Structure from Motion,-,-,,,,,,
14,Nov,23,Tue,Structure from Motion,S16-SFM-2,-,Applied Object and Pose Detection,,,,,
14,Nov,25,Thu,Thanksgiving Break,-,-,,,,,,
15,Nov,30,Tue,NeRF,S17-NeRF,-,,,,,,
15,Dec,2,Thu,Dense Stereo,S18-Dense-Stereo,,,,,,,
16,Dec,7,Tue,Deep Stereo,S19-Deep-Stereo,-,,,,,,
,Dec,9-16,-,Final Exams,-,-,,Quiz 6,,,,